IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.45.190,4,4,0.00,143.91,12.78
104.19.56.216,4,4,0.00,141.61,12.72
104.16.38.9,4,4,0.00,144.94,12.59
104.19.52.167,4,4,0.00,143.87,12.52
104.17.21.181,4,4,0.00,140.10,12.39
104.16.184.126,4,4,0.00,144.37,12.36
162.159.129.234,4,4,0.00,141.38,12.36
104.17.81.133,4,4,0.00,142.12,12.32
104.19.38.81,4,4,0.00,141.84,12.26
104.16.169.238,4,4,0.00,143.64,12.17
104.16.90.182,4,4,0.00,143.13,12.15
104.16.67.157,4,4,0.00,141.17,12.06
104.16.147.20,4,4,0.00,144.32,12.06
172.64.106.1,4,4,0.00,144.37,12.05
104.17.34.172,4,4,0.00,139.59,12.03
104.17.0.143,4,4,0.00,144.68,12.03
104.16.79.93,4,4,0.00,143.75,11.97
104.17.111.84,4,4,0.00,141.57,11.92
104.16.166.233,4,4,0.00,144.95,11.92
104.16.233.148,4,4,0.00,143.68,11.85
172.64.175.128,4,4,0.00,144.85,11.79
104.19.102.43,4,4,0.00,141.88,11.65
104.18.242.20,4,4,0.00,144.59,11.63
104.18.165.136,4,4,0.00,142.35,11.41
104.19.90.122,4,4,0.00,140.58,11.36
162.159.138.225,4,4,0.00,143.83,11.33
104.17.15.215,4,4,0.00,142.20,11.29
104.17.240.171,4,4,0.00,142.11,11.25
104.17.115.162,4,4,0.00,141.18,10.98
172.66.43.45,4,4,0.00,139.27,10.98
104.19.26.178,4,4,0.00,142.67,10.90
104.18.92.205,4,4,0.00,145.03,10.77
104.18.53.202,4,4,0.00,143.98,10.75
104.16.183.117,4,4,0.00,142.95,10.72
172.64.158.53,4,4,0.00,140.38,10.68
104.16.182.59,4,4,0.00,142.50,10.54
104.16.22.34,4,4,0.00,144.08,10.47
104.19.77.141,4,4,0.00,144.63,10.19
104.16.192.74,4,4,0.00,144.44,10.03
104.16.16.5,4,4,0.00,143.91,9.99
104.19.208.21,4,4,0.00,139.01,9.94
104.19.219.228,4,4,0.00,142.46,9.91
104.18.88.241,4,4,0.00,140.63,9.59
104.16.173.186,4,4,0.00,144.68,9.38
104.16.146.13,4,4,0.00,144.33,9.23
104.17.45.229,4,4,0.00,143.06,8.86
104.19.81.158,4,4,0.00,143.91,8.70
104.17.48.14,4,4,0.00,139.42,8.52
104.17.57.229,4,4,0.00,144.88,8.05
104.16.27.233,4,4,0.00,143.29,7.42
